WEO Country Code,ISO,Country,Region,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
112,GBR,United Kingdom,Europe,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,610.54","19,257.61","20,005.91","21,063.90","21,975.96","23,058.58","24,178.72","25,213.80","25,706.18","24,871.32","25,589.98","26,232.77","26,870.26","27,771.75","28,840.47","29,483.04","30,384.96","31,325.82","32,238.43","33,211.66","31,484.91","33,227.57",2019
112,GBR,United Kingdom,Europe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,212.73","27,727.89","30,032.21","34,421.36","40,252.45","41,971.80","44,549.73","50,467.11","47,753.72","38,885.08","39,579.62","42,044.62","42,453.47","43,444.63","47,480.80","45,053.49","41,177.83","40,349.87","43,063.74","42,416.60","40,394.13","46,200.26",2019
112,GBR,United Kingdom,Europe,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",0.955,1.021,1.524,1.315,1.436,2.127,2.715,2.119,3.88,2.121,3.38,4.631,2.634,2.067,0.913,0.056,1.208,3.032,2.281,1.423,0.536,3.5,2020
112,GBR,United Kingdom,Europe,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office Latest actual data: 2020. For 111LE, the latest actual data is 2020Q3. Employment type: Harmonized ILO definition Primary domestic currency: British pound Data last updated: 09/2021",5.45,5.1,5.2,5,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.975,7.575,6.2,5.375,4.875,4.425,4.075,3.825,4.525,4.975,2020
112,GBR,United Kingdom,Europe,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Primary domestic currency: British pound Data last updated: 09/2021,58.886,59.113,59.366,59.637,59.95,60.413,60.827,61.319,61.824,62.261,62.76,63.285,63.705,64.106,64.597,65.11,65.648,66.04,66.436,66.797,67.081,67.281,2019
112,GBR,United Kingdom,Europe,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: National Statistics Office. Data takes into account statistical revisions (including on student loans accounting) implemented on September 24, 2019, and revisions to historical data released on December 22, 2020. Latest actual data: 2020 Notes: Note the general government variables exclude the temporary effects of financial interventions. Fiscal assumptions: Fiscal projections are based on the latest GDP data published by the Office of National Statistics on February 12, 2021, and forecasts by the Office for Budget Responsibility from November 23, 2020. Revenue projections are adjusted for differences between the IMF staff's forecasts of macroeconomic variables (such as GDP growth and inflation) and the forecasts of these variables assumed in the authorities' fiscal projections. Projections assume that the measures taken in response to the coronavirus outbreak expire as announced. It is also assumed there is some additional fiscal consolidation relative to the policies announced to date starting in FY2023/24 with the goal of stabilizing public debt within five years. The IMF staff's data exclude public sector banks and the effect of transferring assets from the Royal Mail Pension Plan to the public sector in April 2012. Real government consumption and investment are part of the real GDP path, which, according to the IMF staff, may or may not be the same as projected by the UK Office for Budget Responsibility. Data are presented on a calendar year basis. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Accrual General government includes: Central Government; Local Government;. The concept of ""state government"" and ""social security funds"" is not applicable to the UK. Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Securities Other than Shares; Loans;. Net debt is defined as total gross financial liabilities less liquid financial assets, where liquid assets are cash and short-term assets, which can be released for cash at short notice without significant loss Primary domestic currency: British pound Data last updated: 09/2021","1,095.90","1,138.38","1,187.67","1,256.19","1,317.46","1,393.04","1,470.72","1,546.09","1,589.26","1,548.51","1,606.03","1,660.14","1,711.77","1,780.34","1,863.01","1,919.64","1,994.71","2,068.76","2,141.79","2,218.44","2,112.04","2,235.59",2020
111,USA,United States,North America,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 09/2021","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,939.58",2020
111,USA,United States,North America,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,939.58",2020
111,USA,United States,North America,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,885.71","62,769.66","65,051.88","63,358.49","69,375.38",2020
111,USA,United States,North America,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,885.71","62,769.66","65,051.88","63,358.49","69,375.38",2020
111,USA,United States,North America,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",3.427,1.552,2.616,1.909,3.209,3.683,2.199,4.084,0.701,1.919,1.689,3.086,1.822,1.319,0.524,0.695,2.179,2.171,1.911,2.063,1.553,5.149,2020
111,USA,United States,North America,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: US dollar Data last updated: 09/2021,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.35,3.892,3.683,8.108,5.431,2020
111,USA,United States,North America,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: US dollar Data last updated: 09/2021,282.296,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.944,314.167,316.331,318.619,320.926,323.221,325.28,327.023,328.547,329.77,330.659,2020
111,USA,United States,North America,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: BEA and IMF's Government Finance Statistics Yearbook (revenue, expenditure, and net lending); Flow of Funds (debt) Latest actual data: 2020 Notes: Revenue, expenditure, and net lending data are is compiled using SNA 2008, and when translated into GFS this is in accordance with GFSM 2014. Due to data limitations, most series begin 2001. Fiscal assumptions: Fiscal projections are based on the July 2021 Congressional Budget Office baseline adjusted for the IMF staff's policy and macroeconomic assumptions. Projections incorporate the effects of the proposed American Jobs, American Families and Bipartisan Infrastructure Plans, the legislated American Rescue Plan; the Coronavirus Preparedness and Response Supplemental Appropriations Act; the Families First Coronavirus Response Act; the Coronavirus Aid, Relief, and the Paycheck Protection Program and Health Care Enhancement Act. Finally, fiscal projections are adjusted to reflect the IMF staff's forecasts for key macroeconomic and financial variables and different accounting treatment of financial sector support and of defined-benefit pension plans and are converted to a general government basis. Data are compiled using System of National Accounts 2008, and when translated into government finance statistics, this is in accordance with the Government Finance Statistics Manual 2014. Because of data limitations, most series begin in 2001. Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2014 Basis of recording: Accrual General government includes: Central Government; State Government; Local Government; Valuation of public debt: Nominal value Instruments included in gross and net debt: Currency and Deposits; Loans; Insurance Technical Reserves; Financial Derivatives; Monetary Gold and SDRs Primary domestic currency: US dollar Data last updated: 09/2021","10,250.95","10,581.93","10,929.10","11,456.45","12,217.18","13,039.20","13,815.60","14,474.25","14,769.85","14,478.05","15,048.98","15,599.73","16,253.95","16,843.23","17,550.68","18,206.03","18,695.10","19,479.63","20,527.15","21,372.60","20,893.75","22,939.58",2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
